Season,Year,Date,RaceName,RaceKey,CircuitName,Location,Country,Driver,DriverCode,FinishPosition,RacePoints,IsPodium,IsPointsFinish,Status,Stop,PitLap,TireCompound,Stint,StintLength,PitDuration,PitDurationSeconds,AirTemp,TrackTemp,HumidityPct,WindSpeedKMH,TotalPitStops,AvgPitStopTime,LapTimeVariation,TireUsageAggression,DriverAggressionScore,Totalpitstops2,IsPitStop,OpeningCompound,LastCompound,NumStops,AvgStintLength,AggressiveStrategyFlag,CompoundChangeCount,StopRelativePitLossSeconds,DriverAvgRelativePitLossSeconds,FirstPitLap,SecondPitLap,StrategyType,Stint1Compound,Stint2Compound,Stint3Compound,Stint1Length,Stint2Length,Stint3Length,DoubleStackFlag,PointsDeltaVsTeammate,BeatsTeammate,HotRaceFlag,RainRiskFlag,HighDegTrackFlag,TrackID,DriverID,CompoundCode,SeasonProgress,EstimatedLapLossFromPit,GridPosition,TrackType
2018,2018,25/03/2018,Australian Grand Prix,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,Sebastian Vettel,VET,1,25,1,1,Finished,1,26,Soft,1,25,21.787,21.787,15.8,22.3,57,23.8,0,21.787,0.002,0.02,6.76,1,1,Soft,Soft,1,28.5,0,0,0,0,26,26,1-stop,Soft,Soft,Unknown,25,32,0,0,0,0,0,0,0,2,3,1,0.105,23.787,3,Street/Semi-Street
2018,2018,25/03/2018,Australian Grand Prix,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,Sebastian Vettel,VET,1,25,1,1,Finished,1,26,Soft,2,32,21.787,21.787,15.8,22.3,57,23.8,0,21.787,0.002,0.02,6.76,1,1,Soft,Soft,1,28.5,0,0,0,0,26,26,1-stop,Soft,Soft,Unknown,25,32,0,0,0,0,0,0,0,2,3,1,0.105,23.787,3,Street/Semi-Street
2018,2018,08/04/2018,Bahrain Grand Prix,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,Sebastian Vettel,VET,1,25,1,1,Finished,1,18,Soft,1,16,24.524,24.524,22.1,28.6,37,6.3,0,24.524,0.003,0.02,6.34,1,1,Soft,Soft,1,27.5,0,0,0,0,18,18,1-stop,Soft,Soft,Unknown,16,39,0,0,0,0,0,0,1,5,3,1,0.263,26.524,1,High-Degradation
2018,2018,08/04/2018,Bahrain Grand Prix,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,Sebastian Vettel,VET,1,25,1,1,Finished,1,18,Soft,2,39,24.524,24.524,22.1,28.6,37,6.3,0,24.524,0.003,0.02,6.34,1,1,Soft,Soft,1,27.5,0,0,0,0,18,18,1-stop,Soft,Soft,Unknown,16,39,0,0,0,0,0,0,1,5,3,1,0.263,26.524,1,High-Degradation
2018,2018,15/04/2018,Chinese Grand Prix,Chinese Grand Prix,Shanghai International Circuit,Shanghai,China,Sebastian Vettel,VET,8,4,0,1,Finished,1,20,Soft,1,44,23.009,23.009,12.6,18.1,68,10.2,0,23.009,0.002,0.02,6.6,1,1,Soft,Medium,1,27,0,1,0,0,20,20,1-stop,Soft,Medium,Unknown,44,10,0,0,0,0,0,0,0,9,3,1,0.474,25.009,1,Technical/Traction-Limited
2018,2018,15/04/2018,Chinese Grand Prix,Chinese Grand Prix,Shanghai International Circuit,Shanghai,China,Sebastian Vettel,VET,8,4,0,1,Finished,1,20,Medium,2,10,23.009,23.009,12.6,18.1,68,10.2,0,23.009,0.002,0.02,6.6,1,1,Soft,Medium,1,27,0,1,0,0,20,20,1-stop,Soft,Medium,Unknown,44,10,0,0,0,0,0,0,0,9,3,2,0.474,25.009,1,Technical/Traction-Limited
2018,2018,29/04/2018,Azerbaijan Grand Prix,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,Sebastian Vettel,VET,4,12,0,1,Finished,1,30,Soft,1,28,20.037,20.037,14.4,19.9,66,35.9,0,20.43,0.001,0.04,7.01,2,1,Soft,Soft,2,16.3,0,0,-0.393,0,30,30,2-stop,Soft,Soft,Soft,28,10,11,0,0,0,0,0,0,4,3,1,0.211,22.037,1,Street/Semi-Street
2018,2018,29/04/2018,Azerbaijan Grand Prix,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,Sebastian Vettel,VET,4,12,0,1,Finished,2,40,Soft,1,28,20.823,20.823,14.4,19.9,66,35.9,0,20.43,0.001,0.04,7.01,2,1,Soft,Soft,2,16.3,0,0,0.393,0,30,30,2-stop,Soft,Soft,Soft,28,10,11,0,0,0,0,0,0,4,3,1,0.211,22.823,1,Street/Semi-Street
2018,2018,29/04/2018,Azerbaijan Grand Prix,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,Sebastian Vettel,VET,4,12,0,1,Finished,1,30,Soft,2,10,20.037,20.037,14.4,19.9,66,35.9,0,20.43,0.001,0.04,7.01,2,1,Soft,Soft,2,16.3,0,0,-0.393,0,30,30,2-stop,Soft,Soft,Soft,28,10,11,0,0,0,0,0,0,4,3,1,0.211,22.037,1,Street/Semi-Street
2018,2018,29/04/2018,Azerbaijan Grand Prix,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,Sebastian Vettel,VET,4,12,0,1,Finished,2,40,Soft,2,10,20.823,20.823,14.4,19.9,66,35.9,0,20.43,0.001,0.04,7.01,2,1,Soft,Soft,2,16.3,0,0,0.393,0,30,30,2-stop,Soft,Soft,Soft,28,10,11,0,0,0,0,0,0,4,3,1,0.211,22.823,1,Street/Semi-Street
