year,race_name,date,circuit_name,location,country,Driver,driver_code,finish_position,race_points,status,stop,pit_lap,pit_duration,Tire Compound,Stint Length,Stint,Air_Temp_C,Track_Temp_C,Humidity_%,Wind_Speed_KMH,TotalPitStops,AvgPitStopTime,Lap Time Variation,Total Pit Stops,Tire Usage Aggression,Fast Lap Attempts,Position Changes,Driver Aggression Score
2018,Abu Dhabi Grand Prix,2018-11-25,Yas Marina Circuit,Abu Dhabi,UAE,Sebastian Vettel,VET,2,18.0,Finished,1,15,22.630,,,,27.15833333333333,32.65833333333333,61.583333333333336,22.695833333333336,1.0,22.63,0.002000867,0.1428571428571428,0.018181818,43.92581995,0.043478261,6.633171727313432
2018,Australian Grand Prix,2018-03-25,Albert Park Grand Prix Circuit,Melbourne,Australia,Kimi Räikkönen,RAI,3,15.0,Finished,1,18,21.421,,,,,,,,,,,,,,,
2018,Australian Grand Prix,2018-03-25,Albert Park Grand Prix Circuit,Melbourne,Australia,Sebastian Vettel,VET,1,25.0,Finished,1,26,21.787,ULTRASOFT,25.0,1.0,15.78333333333333,22.28333333333333,57.0,23.8,1.0,21.787,0.00172349,0.1428571428571428,0.017241379,44.76881994581159,0.0,6.755002600299171
2018,Australian Grand Prix,2018-03-25,Albert Park Grand Prix Circuit,Melbourne,Australia,Sebastian Vettel,VET,1,25.0,Finished,1,26,21.787,SOFT,32.0,2.0,15.78333333333333,22.28333333333333,57.0,23.8,1.0,21.787,0.00172349,0.1428571428571428,0.017241379,44.76881994581159,0.0,6.755002600299171
2018,Austrian Grand Prix,2018-07-01,Red Bull Ring,Spielberg,Austria,Kimi Räikkönen,RAI,2,18.0,Finished,1,15,21.552,,,,,,,,,,,,,,,
2018,Austrian Grand Prix,2018-07-01,Red Bull Ring,Spielberg,Austria,Sebastian Vettel,VET,3,15.0,Finished,1,15,23.912,ULTRASOFT,14.0,1.0,14.758333333333333,20.258333333333333,70.58333333333333,5.316666666666667,1.0,23.912,0.002422691,0.1428571428571428,0.014084507,42.64381994581159,0.086956522,6.444526638339921
2018,Austrian Grand Prix,2018-07-01,Red Bull Ring,Spielberg,Austria,Sebastian Vettel,VET,3,15.0,Finished,1,15,23.912,SOFT,56.0,2.0,14.758333333333333,20.258333333333333,70.58333333333333,5.316666666666667,1.0,23.912,0.002422691,0.1428571428571428,0.014084507,42.64381994581159,0.086956522,6.444526638339921
2018,Azerbaijan Grand Prix,2018-04-29,Baku City Circuit,Baku,Azerbaijan,Kimi Räikkönen,RAI,2,18.0,Finished,1,1,30.012,,,,,,,,,,,,,,,
2018,Azerbaijan Grand Prix,2018-04-29,Baku City Circuit,Baku,Azerbaijan,Kimi Räikkönen,RAI,2,18.0,Finished,2,40,21.149,,,,,,,,,,,,,,,
2018,Azerbaijan Grand Prix,2018-04-29,Baku City Circuit,Baku,Azerbaijan,Sebastian Vettel,VET,4,12.0,Finished,1,30,20.037,SUPERSOFT,28.0,1.0,14.420833333333333,19.92083333333333,65.625,35.908333333333324,2.0,20.43,0.001276988,0.2857142857142857,0.039215686,46.12581994581159,0.1304347826086956,7.011571275194286
